id,title,score,director
tm1246714,Black Rose,10.0,Okechukwu Oku
tm1073482,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,10.0,Suhas Kadav
tm1040502,Waraqat Gameia,10.0,
tm1073424,Motu Patlu the Superheroes – Super Villains from Mars,10.0,Suhas Kadav
tm1114639,Motu Patlu in the Game of Zones,10.0,Suhas Kadav
tm528044,Chhota Bheem Neeli Pahaadi,9.4,
tm1077037,Chhota Bheem & Krishna: Pataliputra- City of the Dead,9.3,
tm361743,A Miraculous Christmas Special: Tales of Ladybug and Cat Noir,9.0,Thomas Astruc
tm1166302,Split at the Root,8.9,Linda Goldstein Knowlton
tm56184,The Dark Knight,8.754,Christopher Nolan
tm142381,The Lord of the Rings: The Return of the King,8.737,Peter Jackson
tm853783,David Attenborough: A Life on Our Planet,8.7,Keith Scholey
tm853783,David Attenborough: A Life on Our Planet,8.7,Jonathan Hughes
tm853783,David Attenborough: A Life on Our Planet,8.7,Alastair Fothergill
tm1048678,Like A Rolling Stone: The Life & Times of Ben Fong-Torres,8.65,Suzanne Joe Kai
tm122434,Forrest Gump,8.6395,Robert Zemeckis
tm430307,Looking For Love,8.6,Adze Ugah
tm1040733,In Our Mothers' Gardens,8.6,Shantrelle P. Lewis
tm44313,The Lord of the Rings: The Fellowship of the Ring,8.597000000000001,Peter Jackson
tm115982,The Lord of the Rings: The Two Towers,8.5875,Peter Jackson
tm975765,Emicida: AmarElo - It's All for Yesterday,8.55,Fred Ouro Preto
tm944631,The Three Deaths of Marisela Escobedo,8.51,
tm1148327,Atithi Devobhava,8.5,Polimera Nageshwar
tm1038686,Bo Burnham: Inside,8.443,Bo Burnham
tm430281,Dhh,8.4,Manish Saini
tm443537,Ani... Dr. Kashinath Ghanekar,8.4,Abhijeet Deshpande
tm944307,I'm Glad I Did,8.4,Selçuk Metin
tm171813,George Lopez: Why You Crying?,8.4,Paul Miller
tm529723,Chhota Bheem and the Broken Amulet,8.4,
tm448122,Taylor Swift: Reputation Stadium Tour,8.350000000000001,Paul Dugdale
tm327219,Buddy Thunderstruck: The Maybe Pile,8.333,Harry Chaskin
tm432022,Violet Evergarden: The Movie,8.3,Taichi Ishidate
tm1264330,Racionais MC's: From the Streets of São Paulo,8.3,Juliana Vicente
